candidate_id,Start time,End time,Email address,I confirm that I have read the above information and acknowledge it.,"Do you consent to the processing of personal data regarding your email address for the purpose of carrying out the research project titled ""XPM: eXplainable Predictive Maintenance"" and archiving, in accordance with the European Parliament and Council Regulation (EU) 2016/679 of April 27, 2016 (General Data Protection Regulation) and in accordance with the information clause attached to your consent?",Do you consent to participate in the survey?,How would you rate your knowledge about wild edible and poisonous mushrooms?,How do you primarily recognize wild edible mushrooms?,How can you mainly recognize wild poisonous or inedible mushrooms?  ,Where does your knowledge about wild mushrooms come from?  ,Do you ever collect wild mushrooms?,I do not have objections to:,"What are your skills in data visualization, such as creating charts, infographics, etc.? (Select up to two answers).",How do you rate your skills in data analysis?  ,Where do you have your skills in data visualization from?  ,What features should a well-made data visualization have in your opinion?,"Based on the chart, are you able to determine the features that most often appear on its right side and suggest a strong influence on classifying the mushroom as poisonous? Please respond and provide these features.  ","Looking at the following visualization, are you able to determine which changes in characteristics, according to the counterfactual analysis, have the greatest impact on changing the classification of a mushroom from poisonous to edible or vice versa? Please answer by describing these changes.",Provide the name(s) of the study program(s) you are currently enrolled in:,"Do you consent to participate in testing XAI techniques? You can withdraw later if you change your mind. The research will be conducted from December 19, 2023, to February 25, 2024, at the Faculty of Management and Social Communication at Jagiellonian University, in the Institute of Information Studies at Jagiellonian University. If you give preliminary consent, we will ask you to provide a contact email address to which we will send a form for scheduling a specific date and time for the study. Participants in the qualitative research will receive gifts.",participant_id,comment
11,1.11.24 22:24:42,1.11.24 22:32:12,anonymous,I confirm.,I consent.,Yes.,Definitely low.  ,"They have ""tubes"" under the cap.",They have gills.  ,From school and my parents.  ,"Yes, rarely.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms picked by a family member or close friend.;Eatinginging mushrooms that I picked myself.;,I can create simple visualizations.;I can interpret simple visualizations.;,Low.  ,Studies;  ,It should be transparent  ,"Height of the stem, diameter of the cap, height of the stem  ",No  ,Information Management  ,Yes.,MK_SSH_04,
54,1.26.24 10:50:43,1.26.24 11:05:59,anonymous,I confirm.,I consent.,Yes.,I can't assess.  ,By the cap and the mushroom’s sponge.,By the cap and the method: darkening of a silver spoon.  ,From family and nature documentaries.  ,I do not want to answer.  ,Eatinginging mushrooms bought at a store.;,I can create advanced visualizations.;I can interpret advanced visualizations.;,High.  ,Studies;  ,"Simple and understandable, and also aesthetically pleasing.  ","Yes, red indicates a strong influence. So, typically, the higher the stem’s height, the greater the probability that the mushroom is poisonous. But also in the case of ""changes color or exudes milk in reaction to damage - does not change color or lacks milk,"" it is poisonous.  ","Overgrown, 7.18-48.9 Bulbous Shiny Without a veil  ",Contemporary Culture Laboratory  ,Yes.,MK_SSH_05,
133,2.5.24 20:19:08,2.5.24 20:36:08,anonymous,I confirm.,I consent.,Yes.,Average.  ,By having a sponge under the cap.,"By the gills under the cap, with exceptions like shaggy parasol, chanterelles, chanterelle mushrooms, oyster mushrooms, but this is the simplest rule.  ","Grandparents, dad.  ","Yes, rarely.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms bought at the market or at a roadside stall.;Eatinginging mushrooms picked by a family member or close friend.;Eatinginging mushrooms that I picked myself.;,I can create simple visualizations.;I can interpret simple visualizations.;,Low.  ,Studies;  ,"clearly described data, appropriate color scheme  ","Probably the height of the stem, diameter of the cap, and color change or exudation of milk in reaction to damage.  ",No  ,Computer Game Informatics  ,Yes.,MK_IT_06,
136,2.11.24 17:36:57,2.11.24 17:46:08,anonymous,I confirm.,I consent.,Yes.,High.  ,"Tubes instead of gills, usually a thicker stem.","Gills instead of tubes, usually a thinner stem.  ","From family, from guides.  ","Yes, often.  ",Eatinginging mushrooms that I picked myself.;Eatinginging mushrooms picked by a family member or close friend.;Eatinginging mushrooms bought at a store.;,I can create simple visualizations.;I can interpret simple visualizations.;,I can't assess.  ,I don't want to answer.;  ,It should be readable for the target group  ,"I’m not sure, at first glance, it seems to be the height of the stem and the larger diameter of the cap.  ","Again, I’m not sure, it seems to me that it is the way the gills attach to the stem, its base, and surface, as well as the type of hymenophore.  ",Journalism and Social Communication  ,Yes.,MK_SSH_07,
20,1.12.24 14:37:05,1.12.24 14:44:58,anonymous,I confirm.,I consent.,Yes.,Low.  ,By the color and the presence of gills on the underside of the cap.,"By the coloration and the presence of distinctive marks, e.g., spots.  ",From parents and school.  ,"Yes, rarely.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms bought at the market or at a roadside stall.;,I can interpret simple visualizations.;I cannot create visualizations.;,Average.  ,I don't want to answer.;  ,It should be readable and unambiguous  ,I can't assess this  ,Shiny stem surface and attachment of the gills to it.  ,Applied Psychology  ,Yes.,MW_SSH_01,
6,1.11.24 21:24:35,1.11.24 21:33:23,anonymous,I confirm.,I consent.,Yes.,I can't assess.  ,Gills under the mushroom cap.,Gills or the structure of the cap.  ,My mom grew up in the forest.  ,"No, never.  ",Eatinginging mushrooms bought at the market or at a roadside stall.;Eatinginging mushrooms picked by a family member or close friend.;,I can interpret advanced visualizations.;I can create simple visualizations.;,I can't assess.  ,Studies;  ,"logically thinking, meticulous, observant  ","Tall stem, small cap diameter, average stem width  ",From smooth stem surface to shiny.  ,Electronic Information Processing  ,Yes.,MW_IT_02,
7,1.11.24 21:13:39,1.11.24 21:37:30,anonymous,I confirm.,I consent.,Yes.,High.  ,"They generally have a so-called ""sponge"" under the cap.","Some poisonous mushrooms have a bitter taste, and when touched, their ""foam"" turns pink. They are usually tube mushrooms.  ","From my grandmother and parents, my own experience in mushroom picking.  ","Yes, often.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms picked by a family member or close friend.;Eatinginging mushrooms that I picked myself.;,I can create advanced visualizations.;I can interpret advanced visualizations.;,High.  ,Studies; Courses;  ,"It should be readable (i.e., the graphic or chart elements must be labeled in such a way that an average person can understand them), it must be graphically pleasing (because it makes reading the data easier and makes it more understandable)  ","Most frequent feature: height of the stem. The ""cap diameter"" feature is important for distinguishing poisonous mushrooms, but it has greater importance for edible mushrooms. The ""stem width"" feature, in my opinion, is fairly common for both types of mushrooms. It is possible that the feature ""changes color or exudes milk in reaction to damage, does not change color or lacks milk"" might be a feature of poisonous mushrooms, but the line on the chart is too short to definitively conclude this.  ",I am unable to.  ,Information Management  ,Yes.,MW_SSH_03,
48,1.25.24 16:20:00,1.25.24 16:25:27,anonymous,I confirm.,I consent.,Yes.,Average.  ,They are Eatingen by snails.,Snails do not Eating them.  ,From life.  ,"No, never.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms bought at the market or at a roadside stall.;Eatinginging mushrooms picked by a family member or close friend.;,I can interpret advanced visualizations.;I can interpret simple visualizations.;,Definitely high.  ,Studies; Work;  ,Be readable and attractive  ,Phew  ,Not because the text is too small.  ,Tourism and Sports Management  ,Yes.,MW_SSH_04,
8,1.11.24 21:23:37,1.11.24 21:38:37,anonymous,I confirm.,I consent.,Yes.,Low.  ,Appearance.,Appearance and smell.  ,Heard from family.  ,"No, never.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms bought at the market or at a roadside stall.;Eatinginging mushrooms picked by a family member or close friend.;Eatinginging mushrooms offered by a stranger.;Eatinginging mushrooms that I picked myself.;,I can interpret advanced visualizations.;I can create simple visualizations.;,Average.  ,Studies;  ,"Readable, not overloaded with data, starting with things we want to draw the audience's attention to.  ",Height of the stem. I think I’m able to determine them.  ,"I'm not sure. I think the answer is: the way the gills attach to the stem, stem base, type of hymenophore, stem surface.  ",Information Management  ,Yes.,MW_SSH_05,
130,2.5.24 9:28:03,2.5.24 10:05:34,anonymous,I confirm.,I consent.,Yes.,I have no knowledge on this subject.  ,"A white mushroom, color-gill (brown) - more fEatingures in question 15 :)","Red color (changes color or there is latex when damaged), for example, Amanita mushrooms.  ",Mushroom picking.  ,"Yes, rarely.  ",Eatinginging mushrooms bought at a store.;,I can create advanced visualizations.;I can interpret advanced visualizations.;,High.  ,Studies; Work;  ,"Presenting complex data structures in a simple, understandable way for the recipient, most often using charts, maps, and pictograms.  ",Features of poisonous mushrooms: height of the stem in the range (-0.1; 0.0) and (0.1; 0.2) and from (0.6; 1.0) is the range meaning this is one of the features of inedible mushrooms. When we have stem-width in the range 0.9 combined with height of the stem from (0.6; 1.0) – there is an additional mechanism for understanding the mushroom.  ,"This analysis is the classification of an edible mushroom, what is its stem width and cap color, and if the color changes when damaged. From what we see on the graph, we can understand that the first identifier of a non-edible mushroom is its damage, where the color is variable, and there is latex.  ",Computer Game Informatics (part-time)  ,Yes.,MW_IT_06,
127,2.4.24 20:23:24,2.4.24 20:37:42,anonymous,I confirm.,I consent.,Yes.,I have no knowledge on this subject.  ,"A sponge under the cap, a familiar species, color, growing under a specific tree, pleasant smell.","Gills, familiar species of Amanita, spots.  ","Parents' experience and my own, mushroom books with illustrations, Wikipedia.  ","Yes, rarely.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms picked by a family member or close friend.;Eatinginging mushrooms that I picked myself.;,I can interpret simple visualizations.;,Average.  ,I don't have such skills.;  ,"readability, interactivity, purposefulness, description, context.  ","Yes, the first three  ",I can't assess it.  ,Applied Informatics  ,Yes.,MW_IT_07,
4,12.19.23 12:36:54,12.19.23 13:39:08,anonymous,I confirm.,I consent.,Yes.,Definitely low.  ,"Most of them have a ""sponge"" under the cap instead of gills.",They are likely to have gills under the cap.  ,"My mom told me a bit, just the basics.  ","Yes, rarely.  ",Eatinginging mushrooms bought at a store.;,I can create simple visualizations.;I can interpret advanced visualizations.;,I can't assess.  ,Studies;  ,"It should be made without unnecessary ""embellishments"" so that the most important elements can be easily noticed.  ","height-stem-cm, diameter-cap-cm, width-stem  ","The most significant impact on the change in classification seems to be: the way the gills attach to the stem, stem width, stem surface. However, the visualization is so unintuitive that this is more of a guess.  ",Information Management  ,Yes.,MZ_01_PIL,pilot study
23,1.12.24 14:43:36,1.12.24 14:51:33,anonymous,I confirm.,I consent.,Yes.,Definitely low.  ,By the absence of gills and the absence of purple and red color.,By bright colors and gills under the cap.  ,Accidentally gathered knowledge.  ,"No, never.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms picked by a family member or close friend.;,I can interpret simple visualizations.;I cannot create visualizations.;,Average.  ,I don't have such skills.;  ,General transparency  ,"Height of the stem, diameter of the cap, width of the stem  ",I can't  ,Applied Psychology  ,Yes.,MZ_SSH_02,
34,1.16.24 14:14:59,1.16.24 14:36:07,anonymous,I confirm.,I consent.,Yes.,Average.  ,"By the shape of the cap, color, taste (after licking a fragment), texture – mainly by appearance, specific species have their particular characteristics.","Like edible mushrooms, mainly by appearance, with more inedible species in the wild. So, if the mushroom lacks the specific fEatingures required to determine it is edible, it is classified as inedible.  ",From family and friends I go mushroom picking with.  ,"Yes, rarely.  ",Eatinginging mushrooms bought at a store.;,I can create simple visualizations.;I can interpret advanced visualizations.;,Average.  ,Studies;  ,"it should be readable, presenting a limited amount of information, with a legend  ","Tall stem, small cap diameter, average and moderately small stem width  ","Increasing stem width; defining attached gills, bulbous stem base, and hymenophore without a veil; changing the stem surface from smooth to shiny.  ",Practical Psychology  ,Yes.,MZ_SSH_03,
74,1.30.24 11:13:50,1.30.24 11:18:57,anonymous,I confirm.,I consent.,Yes.,Average.  ,"By their appearance, mainly checking the structure under the cap.","By their appearance, the structure under the cap should mainly be checked.  ",From family members.  ,"Yes, rarely.  ",I don't want to answer.;,I can create simple visualizations.;I can interpret advanced visualizations.;,Average.  ,Courses; Work; Studies;  ,It should primarily contain clearly presented data and not overwhelm with colors and text  ,"Yes, these are the first three features from the top  ","The way the gills attach to the stem, stem width, stem base, stem surface, type of hymenophore.  ",Information Management  ,Yes.,MZ_SSH_04,
101,1.31.24 15:42:40,1.31.24 16:12:48,anonymous,I confirm.,I consent.,Yes.,Low.  ,"By the ""sponge"" undernEatingh, but it’s not definitive.","By ""gills,"" with small exceptions like chanterelles.  ",From individual mushroom picking trips with my grandparents when I was a child.  ,"No, never.  ",Eatinginging mushrooms picked by a family member or close friend.;,I can create simple visualizations.;I can interpret simple visualizations.;,Average.  ,Studies;  ,"Transparency, adequacy  ","Does not change color or lacks milk, certain higher range of stem height, and lower cap diameter since they are marked as ""high value features.""  ","Honestly, I don’t understand this and am not familiar with the term counterfactual analysis.  ",Applied Informatics  ,Yes.,MZ_IT_05,
116,2.2.24 16:33:02,2.2.24 16:46:57,anonymous,I confirm.,I consent.,Yes.,Low.  ,"By their structure. Apparently, edible mushrooms usually have a spongy structure under the cap. Color is also important.",By having (usually) gills undernEatingh and intense color.  ,"All of my knowledge is based on mushroom picking trips I had the pleasure of participating in with my grandmother and grandfather. Besides that, something from elementary school.  ","Yes, rarely.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms picked by a family member or close friend.;,I can interpret simple visualizations.;I can create simple visualizations.;,I can't assess.  ,Studies;  ,"Above all, the presentation should be done in a readable and consistent way. There should not be too much going on because it just makes it significantly harder to ""figure out what's going on."" The color scheme also plays a big role.  ","The most significant influences on the decision-making of the given model are: - height of the stem - diameter of the cap - width of the stem, whose ""feature value"" is the highest, meaning frequency of occurrence, if I understand correctly.  ",Probably those marked with an asterisk on the left side: - the way the gills attach to the stem - stem base - type of hymenophore.  ,Applied Informatics Electronic Information Processing  ,Yes.,MZ_IT_06,
112,2.2.24 8:38:16,2.2.24 8:42:34,anonymous,I confirm.,I consent.,Yes.,Average.  ,"They most often have a mesh under the cap, but you can also press them, and sometimes they change color, which helps identify edible ones.","They usually have gills under the cap, or when pressed, they turn red.",From grandparents and parents.  ,"Yes, rarely.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms picked by a family member or close friend.;,I can interpret simple visualizations.;I cannot create visualizations.;,Low.  ,I don't have such skills.;  ,Transparent and readable  ,No  ,No  ,Psychology  ,Yes.,MZ_SSH_07,
78,1.30.24 14:24:20,1.30.24 14:53:04,anonymous,I confirm.,I consent.,Yes.,High.  ,"- appearance (cap, color, texture)
- the place where they grow (e.g., near specific trees)
- fruiting season
- aftertaste","- Appearance (cap, color, texture)
- Location where they grow (e.g., near which trees)
- Fruiting season
- Aftertaste (inedible, but not poisonous)","- Father 
- experiences/memories
- internet forums 
- films 
- guides 
- mushroom friends.  ","Yes, often.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms bought at the market or at a roadside stall.;Eatinginging mushrooms picked by a family member or close friend.;Eatinginging mushrooms that I picked myself.;,I can create simple visualizations.;I can interpret simple visualizations.;,Average.  ,Work;  ,"readable, transparent, large font, intuitive, accurate description  ","Height of the stem, diameter of the cap, width of the stem  ","The way the gills attach to the stem (whether attached or not), stem width (7.18->40.9), stem base, type of hymenophore (veil).  ",-  ,Yes.,PK_DE_01,
2,12.19.23 12:08:53,12.19.23 13:29:59,anonymous,I confirm.,I consent.,Yes.,Definitely low.  ,"Honestly, I have no idea; I don’t know anything about mushrooms.","I have no idea, I don't know anything about mushrooms.  ",I don't have that knowledge.  ,"No, never.  ",Eatinginging mushrooms that I picked myself.;Eatinginging mushrooms picked by a family member or close friend.;,I can interpret advanced visualizations.;I can create simple visualizations.;,Average.  ,Studies;  ,"It should be readable, easy to interpret for the user (no room for assumptions), color-wise, it should be pleasant for the viewer’s eyes, it should contain all necessary information (so that the viewer can analyze it))  ","The first three answers are those that most frequently appeared: height of the stem, diameter of the cap, width of the stem.  ","Changes in features that have the most significant impact on the change in the classification of the poisonous mushroom to edible, or vice versa, are: attached gills to the stem; change in stem width from 7.18 to 40.9 (mm); stem base becomes bulbous; stem surface changes from smooth to shiny.  ",Information Management  ,Yes.,PK_01_PIL,pilot study
83,1.30.24 18:00:11,1.30.24 21:20:47,anonymous,I confirm.,I consent.,Yes.,High.  ,"They are mainly large-fruited mushrooms consisting of a stem and a cap. The underside of the cap has gills, tubes, or spines, and some have ridges. Many of them are mycorrhizal mushrooms, meaning they associate with specific tree species. The safest for mushroom pickers are those with tubes because there are virtually no deadly poisonous mushrooms in this group.","This group mainly includes gilled mushrooms. The deadly poisonous toadstools have white gills, a ring attached to the stem, a white stem, but with a zigzag white pattern and a swollen base growing from a sack. Inedible mushrooms are species that are small in size or have an unpleasant smell or taste.  ","From guides, literature, websites dedicated to mushrooms, and contacts with mycologists and amateur mycologists.  ","Yes, often.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms picked by a family member or close friend.;,I can create simple visualizations.;I can interpret simple visualizations.;,I can't assess.  ,self-education; Work;  ,It should contain the most important features  ,I can't determine these features based on this chart.  ,"Gills dense, white or brown, free, bulbous stem, ring, veil, sheath.  ",I am not studying  ,Yes.,PK_DE_02,
5,12.27.23 16:10:08,12.27.23 16:29:21,anonymous,I confirm.,I consent.,Yes.,High.  ,"In every case, you need to recognize the species. There is no universal way to identify edible mushrooms.","In every case, you need to identify the species. There is no universal way to identify inedible and poisonous mushrooms.  ","From specialized courses, online sources, practice, professional literature.  ","Yes, often.  ",Eatinginging mushrooms that I picked myself.;,I can interpret advanced visualizations.;I can create simple visualizations.;,High.  ,Other;  ,"Readability, not too much data on one chart  ","Height of the stem in centimeters most frequently appears on the right side of the chart, but in my opinion, it is not an important feature when identifying poisonous species.  ","I don’t understand the table description (I don’t know English). Besides, these data and proposed changes don’t make sense to me.  ",I am not currently studying. I studied flute at the Instrumental Department of the Music Academy; then oligophrenopedagogy at the Pedagogical Academy (now University) - I completed my studies around 1995.  ,Yes.,PK_DE_02_PIL_EKSPERT,pilot study
9,1.11.24 21:12:26,1.11.24 21:40:24,anonymous,I confirm.,I consent.,Yes.,Average.  ,"By their normal, commonly seen color and gills/tubes.","A distinctive ""unnatural"" color, often inedible mushrooms also have gills. The cap is often not smooth.  ",From my parents.  ,"Yes, rarely.  ",Eatinginging mushrooms that I picked myself.;,I can create simple visualizations.;I can interpret simple visualizations.;,Average.  ,Studies;  ,"transparency, contrast, readability  ","This chart is not entirely clear, the data could have been visualized differently. I don’t understand what the lower bar indicates, I can’t read this chart.  ",I don't understand this.  ,Information Management  ,Yes.,,
10,1.11.24 21:26:28,1.11.24 21:41:57,anonymous,I confirm.,I consent.,Yes.,Low.  ,By the fact that they don’t have gills undernEatingh.,By the fact that they have gills undernEatingh.  ,Probably partly from home and partly from school.  ,"No, never.  ",Eatinginging mushrooms bought at a store.;Eatinginging mushrooms bought at the market or at a roadside stall.;Eatinginging mushrooms picked by a family member or close friend.;Eatinginging mushrooms that I picked myself.;,I can create simple visualizations.;I can interpret advanced visualizations.;,Average.  ,Studies;  ,"It should be simple, readable, contain as little text as possible  ",Features marked in pink have the greatest influence  ,"The biggest impact is the type of hymenophore, stem base, and surface, and the way the gills attach to the stem.  ",Information Management  ,Yes.,,
